Local time,Open,High,Low,Close,Volume
28.02.2020 10:00:00.000 GMT-0500,287.663,290.552,285.552,289.962,38.8149
28.02.2020 11:00:00.000 GMT-0500,289.993,296.152,287.512,291.773,37.8286
28.02.2020 12:00:00.000 GMT-0500,291.782,294.782,290.042,294.562,34.2699
28.02.2020 13:00:00.000 GMT-0500,294.552,295.113,288.872,290.242,34.3076
28.02.2020 14:00:00.000 GMT-0500,290.243,294.273,288.052,291.652,34.0833
28.02.2020 15:00:00.000 GMT-0500,291.672,295.252,288.083,295.132,32.6443
02.03.2020 09:00:00.000 GMT-0500,298.313,299.112,295.892,296.492,22.1658
02.03.2020 10:00:00.000 GMT-0500,296.492,300.053,294.473,298.513,39.3817
02.03.2020 11:00:00.000 GMT-0500,298.513,303.882,298.192,303.612,34.3312
02.03.2020 12:00:00.000 GMT-0500,303.612,304.083,301.502,303.632,26.111
02.03.2020 13:00:00.000 GMT-0500,303.642,304.003,300.812,302.553,26.4392
02.03.2020 14:00:00.000 GMT-0500,302.552,303.443,298.982,300.072,28.185
02.03.2020 15:00:00.000 GMT-0500,300.063,309.102,299.952,309.102,30.4799
03.03.2020 09:00:00.000 GMT-0500,309.512,309.602,304.922,305.942,20.9339
03.03.2020 10:00:00.000 GMT-0500,305.952,313.853,305.822,310.422,40.152
03.03.2020 11:00:00.000 GMT-0500,310.413,310.692,302.572,307.332,38.8446
03.03.2020 12:00:00.000 GMT-0500,307.332,308.273,304.582,305.172,33.8477
03.03.2020 13:00:00.000 GMT-0500,305.142,305.152,300.052,300.232,35.9144
03.03.2020 14:00:00.000 GMT-0500,300.222,301.902,297.583,301.353,40.4901
03.03.2020 15:00:00.000 GMT-0500,301.352,304.243,299.342,300.102,40.2503
04.03.2020 09:00:00.000 GMT-0500,306.133,307.272,303.352,304.233,19.7095
04.03.2020 10:00:00.000 GMT-0500,304.233,307.313,303.512,304.743,36.1805
04.03.2020 11:00:00.000 GMT-0500,304.792,306.403,304.092,304.982,33.8483
04.03.2020 12:00:00.000 GMT-0500,304.973,307.963,304.973,307.913,27.2185
04.03.2020 13:00:00.000 GMT-0500,307.902,309.462,307.782,308.992,25.6169
04.03.2020 14:00:00.000 GMT-0500,308.993,310.003,308.212,309.373,26.8009
04.03.2020 15:00:00.000 GMT-0500,309.372,313.102,309.222,312.852,29.9242
05.03.2020 09:00:00.000 GMT-0500,305.042,306.452,303.842,304.592,19.8409
05.03.2020 10:00:00.000 GMT-0500,304.612,306.993,304.052,306.022,34.2926
05.03.2020 11:00:00.000 GMT-0500,306.033,308.473,305.292,305.752,32.5192
05.03.2020 12:00:00.000 GMT-0500,305.762,306.092,302.072,302.502,28.7181
05.03.2020 13:00:00.000 GMT-0500,302.503,304.193,301.482,303.492,30.8822
05.03.2020 14:00:00.000 GMT-0500,303.513,303.513,301.112,302.342,30.4094
05.03.2020 15:00:00.000 GMT-0500,302.352,303.202,300.032,302.552,35.1687
06.03.2020 09:00:00.000 GMT-0500,293.192,294.743,291.542,293.352,21.4737
06.03.2020 10:00:00.000 GMT-0500,293.342,297.962,292.612,297.072,40.3926
06.03.2020 11:00:00.000 GMT-0500,297.092,297.493,294.142,294.942,36.8056
06.03.2020 12:00:00.000 GMT-0500,294.953,296.082,293.012,294.563,32.0531
06.03.2020 13:00:00.000 GMT-0500,294.553,296.723,293.373,293.642,29.8437
06.03.2020 14:00:00.000 GMT-0500,293.653,293.982,290.592,291.032,32.5763
06.03.2020 15:00:00.000 GMT-0500,291.012,298.843,290.242,297.342,40.9512
09.03.2020 09:00:00.000 GMT-0400,275.502,282.002,273.623,279.872,6.9388
09.03.2020 10:00:00.000 GMT-0400,279.832,282.602,278.382,278.653,38.1519
09.03.2020 11:00:00.000 GMT-0400,278.642,284.092,278.042,282.692,34.8596
09.03.2020 12:00:00.000 GMT-0400,282.702,284.162,279.032,279.722,33.7795
09.03.2020 13:00:00.000 GMT-0400,279.713,280.742,275.342,275.843,29.8225
09.03.2020 14:00:00.000 GMT-0400,275.833,277.662,273.472,276.612,36.2312
09.03.2020 15:00:00.000 GMT-0400,276.633,279.322,274.442,274.442,40.334
10.03.2020 09:00:00.000 GMT-0400,284.642,285.172,280.922,282.642,20.7385
